osm_id,type,lat,lon,name,amenity,addr:street,healthcare
4189210755,node,-7.3221665,112.7462036,Klinik Kencana Medika,clinic,Jl. Raya Kendangsari,clinic
4189218265,node,-7.2880725,112.7717059,Kliknik Spesial Meridian,clinic,Manyar Tirtomoyo 3,clinic
4191121402,node,-7.2915096,112.7539453,Scoliosis Correction Clinic,clinic,Jl. Ngagel Jaya Tengah,clinic
4191464390,node,-7.2934043,112.735286,Medika Utama,clinic,Jl. Ciliwung,clinic
4191508335,node,-7.2818895,112.7369126,Miracle Aesthetic Clinic Thamrin,clinic,Jl. M H. Tamrin,clinic
4191509711,node,-7.2801062,112.7817642,Miracle Aesthetic Clinic Kertajaya Indah,clinic,Jl. Raya Kertajaya Indah Blok O,clinic
4192842880,node,-7.2533533,112.7488414,Dr. Silvester Hariwidodo D.Spa,doctors,Jl. Ketupa,doctor
4472384093,node,-7.2573574,112.7409288,Posyandu Genteng,clinic,,clinic
4474589264,node,-7.2501395,112.760249,Poliklinik Noor Mushola,clinic,,clinic
4474589265,node,-7.252788,112.7736956,Posyandu Ceria,clinic,,
4474589266,node,-7.2501528,112.7604488,Rumah Bersalin Noor Mushola,clinic,,clinic
4481028812,node,-7.223835,112.7823898,Posyandu Tresnojoyo,clinic,,
4488324018,node,-7.2285213,112.744542,Posyandu Kemuning,clinic,,
4489755662,node,-7.2183042,112.7620354,Posyandu,clinic,,
4491967593,node,-7.3033696,112.6356738,Posyandu,clinic,,clinic
4491967594,node,-7.301037,112.6324626,Posyandu,clinic,,clinic
4491967595,node,-7.2963932,112.6351709,Posyandu RW 03 Kel. Lakarsantri,clinic,,clinic
4493536650,node,-7.3036875,112.6432075,Posyandu Balita RW 2 Kel. Jeruk,clinic,,
4493716524,node,-7.2299329,112.7570498,Melati II,clinic,,
4493716697,node,-7.2261378,112.7550063,Sri Rejeki 1,clinic,,
4501753523,node,-7.2208036,112.769442,Posyandu Flamboyan,clinic,,
4503436232,node,-7.3043746,112.6527109,Posyandu RW 03 Kel. Lidah Kulon,clinic,,
4504062374,node,-7.2233282,112.753399,Posyandu Jaya Indah,clinic,,
4504062375,node,-7.2147588,112.7535521,Posyandu Mekarsari,clinic,,
4505929385,node,-7.2248409,112.7427147,Posyandu Anak Smilebaby,clinic,,
4505929386,node,-7.22484,112.7426843,Posyandu Lansia Udang,clinic,,
4518422428,node,-7.2503291,112.7348737,Posyandu Melati,clinic,,clinic
4519863509,node,-7.3175535,112.6504265,Posyandu,clinic,,
4519997488,node,-7.3269704,112.6679038,Posyandu Balita Melati 4 dan Lansia,clinic,,
4519997589,node,-7.3277938,112.6775352,Posyandu Melati 1,clinic,,
4520228470,node,-7.2779899,112.7224087,Posyandu Beringin 5,clinic,,
4520374041,node,-7.2842004,112.7285004,Posyandu Pagulanstar,clinic,,clinic
4520374042,node,-7.2898002,112.7225647,Posyandu Sartika,clinic,,clinic
4525562655,node,-7.2358207,112.7223595,Posyandu Kelurahan Morokrembangan,clinic,,
4546069711,node,-7.2665784,112.7219504,Posyandu Lansia,clinic,,
4556388447,node,-7.3225926,112.7575667,Posyandu Lengkuas,clinic,,
4556787619,node,-7.2672549,112.7166865,Posyandu Melati,clinic,,
4564476620,node,-7.2637591,112.6554682,Posyandu Kenanga,clinic,,clinic
4576947775,node,-7.2482424,112.6289821,Posyandu Lansia Harapan Pertiwi,clinic,,
4580700781,node,-7.237383,112.6204419,Posyandu Gotong Royong I,clinic,,
4580700784,node,-7.237383,112.6203802,Posyandu Lansia Anugerah,clinic,,
4586349373,node,-7.236088,112.6308249,Posyandu Melati,clinic,,clinic
4590428564,node,-7.2317759,112.6136895,Posyandu Melati,clinic,,
4590428566,node,-7.2318005,112.6137599,Posyandu Lansia Senja Bahagia,clinic,,
4590474592,node,-7.2344455,112.6152002,Poskesdes Benowo Ceria,clinic,,
4590474593,node,-7.2343983,112.6152169,Posyandu Lansia Melati,clinic,,
4592185087,node,-7.325543,112.7219675,Posyandu Melati 5,clinic,,
4599296027,node,-7.2852063,112.6530981,Doktor umum,doctors,,doctor
4599296302,node,-7.2951874,112.6543318,Praktek dokter umum,doctors,,doctor
4600912486,node,-7.2592698,112.6628369,Posyandu Balita Mawar Merah,clinic,,clinic
4617474834,node,-7.3406871,112.7224062,Posyandu Palupi,clinic,,
4625438061,node,-7.2362054,112.6241829,Posyandu Harapan Bangsa,clinic,,clinic
4628345071,node,-7.2428127,112.6108218,Posyandu RW IV Pakal,clinic,,
4676089689,node,-7.3403897,112.7363945,Puskesmas siwalankerto,clinic,,
5369425864,node,-7.2874209,112.6791875,,clinic,,clinic
