Datetime,Latitude,Longitude,Ketinggian (cm),road_class,dist_faskes_m,volume_l
2026-06-22 05:14:00,-7.3167838,112.7291732,5.0,2,171.3,6250.0
2026-06-22 05:14:00,-7.2625269,112.6565116,10.0,2,465.0,6250.0
2026-06-22 05:57:00,-7.2978653,112.7492322,20.0,4,1093.5,25000.0
2026-06-22 06:31:00,-7.290469,112.7451258,20.0,5,518.2,35000.0
2026-06-22 06:43:00,-7.2889791,112.7602304,5.0,3,105.4,8750.0
2026-06-22 06:50:00,-7.2960594,112.7594578,30.0,3,146.9,35000.0
2026-06-22 06:54:00,-7.2657015,112.7125394,30.0,2,421.4,25000.0
2026-06-22 06:59:00,-7.2722452,112.7056594,30.0,2,257.6,25000.0
2026-06-22 07:09:00,-7.3121667,112.7614965,15.0,2,1926.8,6250.0
2026-06-22 07:21:00,-7.3253318,112.7455018,5.0,4,0.0,12500.0
2026-06-22 07:29:00,-7.2810905,112.7735425,10.0,5,1076.6,17500.0
2026-06-22 07:34:00,-7.2816049,112.7361903,20.0,3,365.9,17500.0
2026-06-22 09:09:00,-7.2911222,112.759231,30.0,3,222.8,35000.0
2026-06-22 10:28:00,-7.2532898,112.7134683,5.0,3,608.2,8750.0
2026-06-22 09:03:00,-7.2608289,112.7109621,20.0,2,278.9,12500.0
2026-06-22 07:12:00,-7.2659721,112.6916819,15.0,2,618.7,6250.0
2026-06-22 05:12:00,-7.3086654,112.7743772,50.0,3,1349.4,70000.0
2026-06-22 07:39:00,-7.295096,112.7927717,30.0,1,955.2,17500.0
2026-06-22 10:49:00,-7.2617671,112.6973817,10.0,1,1924.3,4375.0
2026-06-23 03:36:00,-7.2657015,112.7125394,25.0,2,421.4,18750.0
2026-06-23 04:45:00,-7.3083297,112.7752907,40.0,2,1502.3,37500.0
2026-06-23 04:30:00,-7.3096057,112.7813088,50.0,5,1009.8,140000.0
2026-06-23 04:40:00,-7.295096,112.7927717,30.0,1,955.2,17500.0
2026-06-23 04:45:00,-7.2956065,112.7645529,20.0,2,147.6,12500.0
2026-06-23 04:45:00,-7.2889791,112.7602304,20.0,3,105.4,17500.0
2026-06-23 04:40:00,-7.278963,112.7352695,40.0,3,532.7,52500.0
2026-06-23 04:35:00,-7.2978653,112.7492322,30.0,4,1093.5,50000.0
2026-06-23 05:35:00,-7.2987645,112.7597632,30.0,4,449.4,50000.0
2026-06-23 04:30:00,-7.3198073,112.7569099,50.0,4,589.6,100000.0
2026-06-23 04:42:00,-7.3253318,112.7455018,15.0,4,0.0,12500.0
2026-06-23 04:40:00,-7.2625269,112.6565116,7.0,2,465.0,6250.0
2026-06-23 04:40:00,-7.3199551,112.7676996,15.0,3,1132.7,8750.0
2026-06-23 04:45:00,-7.3199551,112.7676996,20.0,3,1132.7,17500.0
2026-06-23 06:25:00,-7.2608289,112.7109621,15.0,2,278.9,6250.0
