Datetime,Latitude,Longitude,Deskripsi,Images,Ketinggian (cm),road_class,dist_faskes_m,volume_l
2025-11-09 13:03:00,-7.3041049,112.7673107,Tinggi Genangan : ± 15 cm,,35.0,2,478.9,31250.0
2025-11-09 13:03:00,-7.3381011,112.7680711,Tinggi Genangan : ± 20 - 30 cm,,30.0,4,176.2,50000.0
2025-11-09 13:03:00,-7.3178367,112.7866834,Tinggi Genangan : ± 10 cm,,10.0,2,285.6,6250.0
2025-11-09 13:03:00,-7.3188152,112.7894082,Tinggi Genangan : ± 10 cm,,10.0,2,892.7,6250.0
2025-11-09 13:03:00,-7.3199551,112.7676996,Tinggi Genangan : ± 15 cm,,15.0,3,1132.7,8750.0
2025-11-10 14:25:00,-7.3244083,112.7497263,Tinggi Genangan : ± 15 cm,,15.0,2,639.9,6250.0
2025-11-10 14:25:00,-7.3148614,112.720556,Tinggi Genangan : ± 15 cm,,15.0,2,1472.6,6250.0
2025-11-10 14:25:00,-7.3121667,112.7614965,Tinggi Genangan : ± 15 cm,,15.0,2,1926.8,6250.0
2025-11-10 14:25:00,-7.3198073,112.7569099,Tinggi Genangan : ± 10 cm,,15.0,4,589.6,12500.0
2025-11-10 14:25:00,-7.3389592,112.6899507,Tinggi Genangan : ± 10 cm,,10.0,2,2284.5,6250.0
2025-11-10 14:25:00,-7.2617671,112.6973817,Tinggi Genangan : ± 20 cm,,20.0,1,1924.3,8750.0
2025-11-10 14:25:00,-7.2974373,112.7441427,Tinggi Genangan : ± 10 cm,,10.0,2,898.3,6250.0
2025-11-10 14:25:00,-7.2960594,112.7594578,Tinggi Genangan : ± 10 cm,,10.0,3,146.9,8750.0
2025-11-11 11:46:00,-7.2976503,112.765319,Tinggi genangan : ± 15 s/d 25 cm,,25.0,2,339.9,18750.0
2025-11-11 18:30:00,-7.2802214,112.7202064,Tinggi Genangan : ± 20 cm,,20.0,3,489.7,17500.0
2025-11-11 18:30:00,-7.2454099,112.7759841,Tinggi Genangan : ± 15 cm,,15.0,2,1059.4,6250.0
2025-11-12 16:52:00,-7.3121926,112.7172365,Genangan : 15 cm,,15.0,2,535.0,6250.0
2025-11-12 16:52:00,-7.3167838,112.7291732,Genangan : 10 cm,,10.0,2,171.3,6250.0
2025-11-12 16:52:00,-7.2625269,112.6565116,Genangan : 60 cm,,60.0,2,465.0,62500.0
2025-11-12 16:52:00,-7.2978653,112.7492322,Genangan : 10 cm,,10.0,4,1093.5,12500.0
2025-11-12 16:52:00,-7.2679233,112.6685833,Genangan : 15 cm,,15.0,2,591.0,6250.0
2025-11-12 16:52:00,-7.2434243,112.7034273,Tinggi Genangan : 30 cm,,30.0,1,2966.2,17500.0
2025-11-12 16:52:00,-7.290469,112.7451258,Genangan : 10 cm,,10.0,5,518.2,17500.0
2025-11-12 16:52:00,-7.2533225,112.7020257,Genangan : 5 cm,,5.0,2,1366.6,6250.0
2025-11-12 16:52:00,-7.2766812,112.7163307,Genangan : 20 cm,,20.0,1,798.7,8750.0
2025-11-12 16:52:00,-7.2802959,112.7011375,Genangan : 15 cm,,15.0,3,646.1,8750.0
2025-11-12 16:52:00,-7.3154263,112.7411382,Genangan : 30 cm,,30.0,2,633.0,25000.0
