no,tanggal,jalan,kecamatan,kelurahan,area,objek,detail,terima_berita,berangkat,tiba_tkp,mulai_penanganan,selesai,tiba_pangkalan,respon_time,depth_cm,lat,lon,geocode_level
1,2025-01-01,Jl. Srikana,Gubeng,Airlangga,Surabaya Timur,Genangan,Debit air 80cm-20cm,2025-01-01 13:26:00,2025-01-01 13:27:00,2025-01-01 13:33:00,2025-01-01 13:34:00,2025-01-01 19:00:00,2025-01-01 19:01:00,00:07,80.0,-7.274123,112.758657,level1_full
2,2025-01-01,Jl. Ngagel Jaya Utara (Gereja SMTB),Gubeng,Baratajaya,Surabaya Timur,Genangan,Jl.Ngagel Jaya Utara (Gereja SMTB) : 15-20 cm,2025-01-01 13:26:00,2025-01-01 13:27:00,2025-01-01 13:33:00,2025-01-01 13:34:00,2025-01-01 19:00:00,2025-01-01 19:07:00,00:07,20.0,-7.2960594,112.7594578,level4_kelurahan
3,2025-01-01,Jl. Ngagel Kebonsari ( SMP 12 ),Wonokromo,Ngagel Rejo,Surabaya Selatan,Genangan,Jl. Ngagel Kebonsari ( SMP 12 ) : 15cm,2025-01-01 13:26:00,2025-01-01 13:27:00,2025-01-01 13:33:00,2025-01-01 13:34:00,2025-01-01 19:00:00,2025-01-01 19:07:00,00:07,15.0,-7.2978653,112.7492322,level4_kelurahan
4,2025-01-01,Jl. Tenggilis Mejoyo,Tenggilis Mejoyo,Tenggilis Mejoyo,Surabaya Timur,Genangan,Jl. Tenggilis Mejoyo = 15cm,2025-01-01 13:26:00,2025-01-01 13:27:00,2025-01-01 13:33:00,2025-01-01 13:34:00,2025-01-01 19:00:00,2025-01-01 19:07:00,00:07,15.0,-7.3198073,112.7569099,level1_full
5,2025-01-01,Jl. S.Memet (SMA 3),Bulak,Kenjeran,Surabaya Utara,Genangan,Jl. S.Memet (SMA 3) : 50cm,2025-01-01 13:26:00,2025-01-01 13:27:00,2025-01-01 13:33:00,2025-01-01 13:34:00,2025-01-01 19:00:00,2025-01-01 19:07:00,00:07,50.0,-7.2349032,112.7924978,level4_kelurahan
6,2025-01-01,Kenpark,Bulak,Sukolilo Baru,Surabaya Utara,Genangan,Kenpark : 25 cm - 10cm,2025-01-01 13:26:00,2025-01-01 13:27:00,2025-01-01 13:33:00,2025-01-01 13:34:00,2025-01-01 19:00:00,2025-01-01 19:07:00,00:07,25.0,-7.2443538,112.793908,level4_kelurahan
7,2025-01-05,Jl. Simorejo sari B,Sukomanunggal,Simomulyo,Surabaya Barat,Genangan,Jl. Simorejo sari B = ± 15 s/d 20 cm,2025-01-05 13:09:00,2025-01-05 13:10:00,2025-01-05 13:16:00,2025-01-05 13:17:00,2025-01-05 18:27:00,2025-01-05 18:34:00,00:07,20.0,-7.2608289,112.7109621,level4_kelurahan
8,2025-01-05,Rusun Warugunung ( depan lapangan bola ),Karang Pilang,Waru Gunung,Surabaya Selatan,Genangan,Rusun Warugunung ( depan lapangan bola ) = ± 5 cm,2025-01-05 13:09:00,2025-01-05 13:10:00,2025-01-05 13:16:00,2025-01-05 13:17:00,2025-01-05 18:27:00,2025-01-05 18:34:00,00:07,5.0,-7.3503716,112.673424,level4_kelurahan
9,2025-01-11,Jl. Raya Kendangsari ( RSIA ),Tenggilis Mejoyo,Kendangsari,Surabaya Timur,Genangan,Jl. Raya Kendangsari ( RSIA )= 15cm,2025-01-11 14:07:00,2025-01-11 14:08:00,2025-01-11 14:14:00,2025-01-11 14:15:00,2025-01-11 20:37:00,2025-01-11 20:44:00,00:07,15.0,-7.3244083,112.7497263,level4_kelurahan
10,2025-01-11,Gereja SMTB ( sisi barat ) Jl.Ngagel Jaya Utara,Gubeng,Baratajaya,Surabaya Timur,Genangan,Genangan : ± 15 cm,2025-01-11 14:07:00,2025-01-11 14:08:00,2025-01-11 14:14:00,2025-01-11 14:15:00,2025-01-11 20:37:00,2025-01-11 20:44:00,00:07,15.0,-7.2960594,112.7594578,level4_kelurahan
