Datetime,Latitude,Longitude,Deskripsi,Images,Ketinggian (cm)
2020-02-16 08:42:02.279000+00:00,-7.333077163,112.7981973,"Genangan setinggi kurleb 25cm.
Angin dan intensitas hujan tinggi
#sayasiagasayatangguh",https://images.petabencana.id/b12b73c6-b088-4c69-ac87-e8300affeaf7.jpg,25
2020-02-25 09:40:25.387000+00:00,-7.28992548,112.786535,"Hujan merata intensitas sedang.
Genangan di jalan sekitar 20cm",,20
2020-05-29 01:35:07.374000+00:00,-7.284292787,112.7594745,"disini sering banjir sekisaran 50 cm ka di daerah pucang jajar smamda4 
banyak sekali mobil sepeda motor yang mogok di sini",https://images.petabencana.id/550b95a9-9028-497f-98f4-3126b803e59f.jpg,50
2020-02-26 12:41:51.976000+00:00,-7.215860917,112.7342749,"ketinggian air di jalan depan rumah hampir mencapai 30cm. 
Jl. Teluk kumai timur, kel.perak utara, kec.pabean cantikan, surabaya, jawa timur",https://images.petabencana.id/5f040d1c-cc46-46ed-853b-8461749a0302.jpg,30
2020-02-22 12:10:56.725000+00:00,-7.279642547,112.7971443,Banjirr informatika ITS. Kampus ada mahasiswa sipil dkk harusnya bisa mengatasi banjir sendiri,https://images.petabencana.id/011471a4-576a-43b4-9f22-dae66daf6824.jpg,10
2020-02-25 11:08:16.679000+00:00,-7.349171511,112.7039123,"Banjir ketinggian sekitar 35 cm di bantaran sungai Desa Ketegan, Kecamatan Taman, Kabupaten Sidoarjo",https://images.petabencana.id/2e0aa55b-8bfb-4be6-94f6-c07e4443f1c7.jpg,35
2020-02-25 11:23:54.748000+00:00,-7.26370787,112.8014749,Banjir karena saluran pembuangan ke sungai kecil  tidak bisa menangani volume air ditambah pompa rusak,https://images.petabencana.id/83f38897-7.946-4783-8299-7.0b78ec53cc3.jpg,-
2020-02-25 15:16:14.774000+00:00,-7.362249075,112.7721529,"Griyo mapan sentosa waru sidoarjo
Bagian belakang. Masjid besar belok kiri, BANJIRnya belum surut. Apakah pompa sudah di periksa? ",,-
2020-02-28 13:21:39.612000+00:00,-7.252617244,112.6528553,Banjir krn sungai meluap,,-
2020-03-06 10:19:01.809000+00:00,-7.289467869,112.7937663,"Tengger Kandangan 5, Kel. Kandangan, Kec. Benowo",https://images.petabencana.id/59567c70-2a14-4151-bfae-a0e06fcf3db3.jpg,-
